paper number,sequencing technology
0,Illumina HiSeq
1,Illumina MiSeq
2,Illumina MiSeq
3,Illumina MiSeq
4,Illumina GAIIx
5,Illumina NextSeq
6,Illumina MiSeq
7,Illumina HiSeq
8,Illumina HiSeq
9,MinION nanopore
10,Illumina HiSeq
11,Illumina HiSeq
12,Ion Proton
13,Illumina MiSeq
13,Illumina NextSeq
14,Illumina MiSeq
15,Illumina HiSeq
16,MinION nanopore
17,Illumina HiSeq
18,Illumina HiSeq
19,Illumina HiSeq
20,Illumina HiSeq
21,MinION nanopore
22,Illumina MiSeq
23,Illumina MiSeq
24,Illumina HiSeq
25,MinION nanopore
26,MinION nanopore
27,BGISEQ-500
28,Illumina HiSeq